Country,ISO,Stringency,DATE,Source,Notes
Zambia,ZMB,2,24/04/2020,ACAPS ID 8201,
Belize,BLZ,2,26/4/2020,ACAPS ID 7718,
Egypt,EGY,3,26/04/2020,masks4all,masks4all link: https://www.egypttoday.com/Article/1/85122/COVID-19-in-Egypt-Wearing-face-masks-to-be-obligatory
Italy,ITA,2,26/04/2020,ACAPS ID 10559,
Burkina Faso,BFA,3,27/04/2020,ACAPS ID 6803,
Dominica,DMA,2,27/04/2020,ACAPS ID 8088,
Grenada,GRD,2,27/04/2020,masks4all,masks4all link: https://today.caricom.org/2020/04/29/covid-19-update-grenada-curfew-continues-until-may-5th/
Lebanon,LBN,3,27/04/2020,masks4all (date estimated),masks4all link: https://www.arabnews.com/node/1664976/middle-east
Nigeria,NGA,2,27/04/2020,ACAPS ID 7873,
Iraq,IRQ,3,28/04/2020,ACAPS ID 8248,
Nigeria,NGA,3,28/04/2020,masks4all (date estimated),masks4all link: https://twitter.com/ncdcgov/status/1258441725472841729
South Sudan,SSD,1,29/04/2020,ACAPS ID 8602,
Congo (Congo-Brazzaville),COG,3,30/04/2020,mask4all,masks4all link: https://cg.usembassy.gov/covid-19-health-alert-2/
Tajikistan,TJK,3,30/04/2020,masks4all,masks4all link: https://www.macaubusiness.com/tajikistan-declares-first-coronavirus-cases/
Azerbaijan,AZE,2,01/05/2020,ACAPS ID 10854 + masks4all,masks4all link: https://apa.az/en/accidents-incidents-news/Ehsan-Zahidov:-%22Fine-not-applied-to-those-who-do-not-wear-medical-masks%22-320560
Botswana,BWA,3,01/05/2020,ACAPS ID 8904,
South Africa,ZAF,3,01/05/2020,ACAPS ID 7278,
Zimbabwe,ZWE,3,01/05/2020,masks4all (predates all ACAPS records),masks4all link: https://iharare.com/people-not-wearing-masks-face-arrest/
Namibia,NAM,3,02/05/2020,masks4all,masks4all link: http://www.nbc.na/news/use-face-masks-public-becomes-mandatory-namibia.30485
Spain,ESP,2,03/05/2020,ACAPS ID 9683,
Belgium,BEL,2,4/5/2020,crisiscentrum.be,https://crisiscentrum.be/nl/news/crisisbeheer/coronavirus-belgie-heeft-zn-exitstrategie-vastgelegd
Greece,GRC,2,04/05/2020,ACAPS ID 9477,
Italy,ITA,2,04/05/2020,ACAPS ID 8493,
Malta,MLT,2,04/05/2020,ACAPS ID 8636,
Montenegro,MNE,2,04/05/2020,ACAPS ID 8545,
Portugal,PRT,2,04/05/2020,ACAPS ID 9130,
Serbia,SRB,2,04/05/2020,ACAPS ID 10031,
Uganda,UGA,3,04/05/2020,ACAPS ID 9073,
Cabo Verde,CPV,2,05/05/2020,masks4all,masks4all link: https://iclg.com/briefing/12092-coronavirus-cabo-verde-miscellaneous
Estonia,EST,1,05/05/2020,ACAPS ID 10411,
Ghana,GHA,2,05/05/2020,ACAPS ID 9645,
Liechtenstein,LIE,1,05/05/2020,ACAPS ID 9329,
Lesotho,LSO,3,06/05/2020,ACAPS ID 10282,
Moldova,MDA,2,07/05/2020,ACAPS ID 10129,
Angola,AGO,2,09/05/2020,ACAPS ID 7958 + masks4all,masks4all link: https://allafrica.com/stories/202005110170.html
Mali,MLI,3,09/05/2020,ACAPS ID 9980,
Djibouti,DJI,3,10/05/2020,ACAPS ID 9958 + masks4all,masks4all link: https://reliefweb.int/report/djibouti/republic-djibouti-covid-19-situation-report-7-10-may-2020
Mauritania,MRT,2,10/05/2020,ACAPS ID 10284,
France,FRA,1,11/05/2020,ACAPS ID 7185,
France,FRA,2,11/05/2020,ACAPS ID 8448,
Guinea-Bissau,GNB,1,11/05/2020,ACAPS ID 10070,
Kyrgyzstan,KGZ,2,11/05/2020,masks4all,masks4all link: https://www.worldaware.com/covid-19-alert-kyrgyzstan-lifts-state-emergency-major-urban-areas-maintains-several-restrictions
Netherlands,NLD,1,11/05/2020,ACAPS ID 9632,
Russia,RUS,2,11/05/2020,masks4all,masks4all link: https://time.com/5836890/russia-coronavirus/
United Kingdom,GBR,1,11/05/2020,ACAPS ID 10708,
Barbados,BRB,2,12/5/2020,masks4all,masks4all link: https://www.nationnews.com/nationnews/news/245494/mask-required-travel-psvs
Costa Rica,CRI,1,12/05/2020,ACAPS ID 10484,
Kuwait,KWT,3,12/05/2020,masks4all,masks4all link: http://www.arabtimesonline.com/news/social-distancing-and-use-of-face-masks-mandatory/
Latvia,LVA,2,12/05/2020,ACAPS ID 10585,
Malawi,MWI,2,13/05/2020,ACAPS ID 11307,
Myanmar,MMR,3,13/05/2020,masks4all,masks4all link: https://www.mmtimes.com/news/myanmar-authorities-charge-fine-those-caught-not-wearing-masks-while-outside.html
Qatar,QAT,3,14/05/2020,masks4all,masks4all link: https://www.reuters.com/article/us-health-coronavirus-qatar/qatar-makes-wearing-masks-outside-mandatory-with-violators-fined-up-to-50000-idUSKBN22Q3IS
Romania,ROU,3,15/05/2020,ACAPS ID 10133,
Guinea-Bissau,GNB,3,17/05/2020,ACAPS ID 11064,
Algeria,DZA,3,18/05/2020,masks4all,masks4all link: https://www.africanews.com/2020/05/19/covid-19-algeria-imposes-wearing-of-masks/
Armenia,ARM,2,18/05/2020,masks4all,masks4all link: https://armenpress.am/eng/news/1015331/
Ireland,IRL,1,18/05/2020,ACAPS ID 10915,
Netherlands,NLD,2,01/06/2020,ACAPS ID 9633,
