,Date,Age,Sex,cases_new
12,2020-04-16,60-69,m,14963
13,2020-04-16,60-69,f,9024
14,2020-04-16,70-79,m,15577
15,2020-04-16,70-79,f,10097
16,2020-04-16,80-89,m,12332
17,2020-04-16,80-89,f,14329
18,2020-04-16,>90,m,2470
19,2020-04-16,>90,f,7333
0,2020-04-09,0-9,m,509
1,2020-04-09,0-9,f,425
2,2020-04-09,10-19,m,717
3,2020-04-09,10-19,f,712
4,2020-04-09,20-29,m,2752
5,2020-04-09,20-29,f,3576
6,2020-04-09,30-39,m,4612
7,2020-04-09,30-39,f,5316
8,2020-04-09,40-49,m,8021
9,2020-04-09,40-49,f,9676
10,2020-04-09,50-59,m,13469
11,2020-04-09,50-59,f,12864
12,2020-04-09,60-69,m,13784
13,2020-04-09,60-69,f,7908
14,2020-04-09,70-79,m,14234
15,2020-04-09,70-79,f,8666
16,2020-04-09,80-89,m,10661
17,2020-04-09,80-89,f,10935
18,2020-04-09,>90,m,1894
19,2020-04-09,>90,f,4941
0,2020-04-02,0-9,m,381
1,2020-04-02,0-9,f,307
2,2020-04-02,10-19,m,475
3,2020-04-02,10-19,f,454
4,2020-04-02,20-29,m,1919
5,2020-04-02,20-29,f,2531
6,2020-04-02,30-39,m,3505
7,2020-04-02,30-39,f,3885
8,2020-04-02,40-49,m,6480
9,2020-04-02,40-49,f,7130
10,2020-04-02,50-59,m,11149
11,2020-04-02,50-59,f,9706
12,2020-04-02,60-69,m,11761
13,2020-04-02,60-69,f,6254
14,2020-04-02,70-79,m,12281
15,2020-04-02,70-79,f,6868
16,2020-04-02,80-89,m,8553
17,2020-04-02,80-89,f,7644
18,2020-04-02,>90,m,1374
19,2020-04-02,>90,f,2973
0,2020-03-30,0-9,m,324
1,2020-03-30,0-9,f,260
2,2020-03-30,10-19,m,392
3,2020-03-30,10-19,f,371
4,2020-03-30,20-29,m,1631
5,2020-03-30,20-29,f,213
6,2020-03-30,30-39,m,3105
7,2020-03-30,30-39,f,335
8,2020-03-30,40-49,m,5802
9,2020-03-30,40-49,f,619
10,2020-03-30,50-59,m,10068
11,2020-03-30,50-59,f,849
12,2020-03-30,60-69,m,10744
13,2020-03-30,60-69,f,558
14,2020-03-30,70-79,m,11236
15,2020-03-30,70-79,f,614
16,2020-03-30,80-89,m,7630
17,2020-03-30,80-89,f,650
18,2020-03-30,>90,m,1160
19,2020-03-30,>90,f,240
